sport,entity,rating,games,updated_at
hockey,Carolina Hurricanes,1603.2738945035858,14,2026-06-12T10:09:58.021531+00:00
hockey,Vegas Golden Knights,1396.7261054964142,14,2026-06-12T10:09:58.022033+00:00
baseball,Pittsburgh Pirates,1463.5713414148815,70,2026-08-19T16:16:43.429607+00:00
baseball,Miami Marlins,1190.3323591910457,92,2026-08-19T16:16:44.398652+00:00
basketball,Chicago Sky,1487.571476896644,5,2026-08-02T08:29:33.073358+00:00
basketball,New York Liberty,1545.9497919344087,11,2026-08-10T07:03:42.602561+00:00
basketball,Golden State Valkyries,1592.502878247005,12,2026-08-20T06:22:35.778543+00:00
basketball,Dallas Wings,1572.0959468566953,32,2026-08-15T06:17:08.531775+00:00
basketball,Phoenix Mercury,1486.7952155219152,1,2026-06-18T10:19:02.444423+00:00
basketball,Las Vegas Aces,1557.4897012643496,13,2026-08-10T07:03:42.672968+00:00
basketball,Washington Mystics,1487.0085748863694,7,2026-07-29T08:47:11.989715+00:00
basketball,Minnesota Lynx,1538.8472158513343,8,2026-08-20T06:22:35.782612+00:00
basketball,Atlanta Dream,1453.4280984338818,15,2026-08-21T06:23:02.334789+00:00
basketball,Seattle Storm,1423.189081128964,7,2026-07-18T13:48:41.720115+00:00
basketball,Portland Fire,1537.4518424479134,10,2026-08-01T08:26:49.926455+00:00
baseball,Washington Nationals,1259.3958786243047,97,2026-08-21T06:23:02.086221+00:00
baseball,New York Yankees,1754.0073912791786,108,2026-08-20T09:33:19.965137+00:00
baseball,Minnesota Twins,1424.327687306047,111,2026-08-19T16:16:43.829455+00:00
baseball,Atlanta Braves,1354.7985366940422,100,2026-08-21T06:23:02.083504+00:00
baseball,New York Mets,1560.7613484761084,80,2026-08-19T16:16:43.500622+00:00
baseball,Kansas City Royals,1398.1885058730581,107,2026-08-20T09:33:19.950460+00:00
baseball,Philadelphia Phillies,1467.152890739764,99,2026-08-19T16:16:44.331763+00:00
basketball,Toronto Tempo,1352.2989432905729,24,2026-07-13T09:35:52.009596+00:00
basketball,Los Angeles Sparks,1477.0372410088753,5,2026-08-21T06:23:02.333747+00:00
basketball,Indiana Fever,1499.9760516863837,5,2026-08-15T06:17:08.530925+00:00
baseball,Tampa Bay Rays,1586.0210832681776,99,2026-08-20T09:33:19.944676+00:00
baseball,Cleveland Guardians,1641.7577607781593,105,2026-08-20T09:33:19.938141+00:00
baseball,Boston Red Sox,1734.3107357698773,83,2026-08-19T16:16:44.280057+00:00
baseball,Chicago White Sox,1478.877279790858,107,2026-08-21T06:23:02.082580+00:00
baseball,Athletics,1301.4165649194922,97,2026-08-20T09:33:19.951519+00:00
baseball,Los Angeles Angels,1471.669670706262,99,2026-08-20T13:23:27.469522+00:00
baseball,San Francisco Giants,1593.654869574159,93,2026-08-20T09:33:19.939321+00:00
baseball,Colorado Rockies,1308.748289124404,90,2026-08-19T16:16:44.574405+00:00
baseball,Seattle Mariners,1266.7868751137605,82,2026-08-20T09:33:19.959645+00:00
baseball,Detroit Tigers,1708.0350714023514,92,2026-08-19T16:16:43.468876+00:00
baseball,Baltimore Orioles,1593.550996642002,99,2026-08-20T09:33:19.964315+00:00
baseball,Texas Rangers,1623.4504800983145,92,2026-08-21T06:23:02.085364+00:00
baseball,Houston Astros,1529.7168444747824,86,2026-08-20T13:23:27.468672+00:00
baseball,Cincinnati Reds,1524.6852646987056,102,2026-08-20T09:33:19.931845+00:00
baseball,Chicago Cubs,1609.7966778099192,95,2026-08-19T16:16:44.090517+00:00
baseball,St. Louis Cardinals,1556.8972634148681,99,2026-08-20T09:33:19.932774+00:00
baseball,San Diego Padres,1386.6496498946076,97,2026-08-19T16:16:43.658974+00:00
baseball,Toronto Blue Jays,1852.4583592900972,101,2026-08-20T09:33:19.945610+00:00
baseball,Los Angeles Dodgers,1304.8191111226859,103,2026-08-19T16:16:44.575377+00:00
baseball,Arizona Diamondbacks,1659.6600796341213,96,2026-08-19T16:16:44.309307+00:00
baseball,Milwaukee Brewers,1394.501132873965,65,2026-08-20T09:33:19.958775+00:00
mma,Cody Durden,1486.7952155219152,1,2026-07-12T06:36:17.673969+00:00
mma,Alessandro Costa,1513.2047844780848,1,2026-07-12T06:36:17.674851+00:00
mma,Max Holloway,1510.7952155219152,1,2026-07-12T06:52:16.696751+00:00
mma,Conor McGregor,1489.2047844780848,1,2026-07-12T06:52:16.697816+00:00
mma,Tommy McMillen,1510.7952155219152,1,2026-07-19T08:25:43.179100+00:00
mma,Alberto Montes,1489.2047844780848,1,2026-07-19T08:25:43.179875+00:00
mma,RJ Harris,1510.7952155219152,1,2026-07-19T08:25:43.181550+00:00
mma,Alvin Hines,1489.2047844780848,1,2026-07-19T08:25:43.182342+00:00
mma,Chase Hooper,1510.7952155219152,1,2026-07-19T08:25:43.184057+00:00
mma,Mitch Ramirez,1489.2047844780848,1,2026-07-19T08:25:43.184817+00:00
mma,Valter Walker,1510.7952155219152,1,2026-07-26T08:32:15.985167+00:00
mma,Thomas Petersen,1489.2047844780848,1,2026-07-26T08:32:15.986222+00:00
mma,Ismael Bonfim,1486.7952155219152,1,2026-07-26T08:32:15.988475+00:00
mma,Axel Sola,1513.2047844780848,1,2026-07-26T08:32:15.989493+00:00
mma,Nurullo Aliev,1510.7952155219152,1,2026-07-26T08:32:15.991457+00:00
mma,Mike Davis,1489.2047844780848,1,2026-07-26T08:32:15.992615+00:00
mma,Rizvan Kuniev,1520.8577546690424,2,2026-07-26T08:32:16.003337+00:00
mma,Tyrell Fortune,1479.1422453309576,2,2026-07-26T08:32:16.004402+00:00
mma,Magomed Zaynukov,1520.8577546690424,2,2026-07-26T08:32:16.006279+00:00
mma,Damian Rzepecki,1479.1422453309576,2,2026-07-26T08:32:16.007204+00:00
mma,Dustin Jacoby,1486.7952155219152,1,2026-07-26T08:32:16.000451+00:00
mma,Muhammad Said,1513.2047844780848,1,2026-07-26T08:32:16.001470+00:00
basketball,Connecticut Sun,1488.3579405446874,1,2026-07-29T08:47:11.990939+00:00
mma,Louie Sutherland,1486.7952155219152,1,2026-08-09T16:19:13.201616+00:00
mma,Jose Montanha,1513.2047844780848,1,2026-08-09T16:19:13.202574+00:00
mma,Diyar Nurgozhay,1510.7952155219152,1,2026-08-09T16:19:13.204020+00:00
mma,Bruno Lopes,1489.2047844780848,1,2026-08-09T16:19:13.204846+00:00
mma,Steven Asplund,1510.7952155219152,1,2026-08-09T16:19:13.206252+00:00
mma,Guilherme Pat,1489.2047844780848,1,2026-08-09T16:19:13.207107+00:00
mma,Juliana Miller,1510.7952155219152,1,2026-08-09T16:19:13.208559+00:00
mma,Ravena Oliveira,1489.2047844780848,1,2026-08-09T16:19:13.209422+00:00
mma,Manoel Sousa,1510.7952155219152,1,2026-08-09T16:19:13.210965+00:00
